Left	Right
DOID:0014667	PCA3
DOID:0014667	LINC00271
DOID:0014667	HYMAI
DOID:0014667	SNHG11
DOID:0014667	KCNQ1OT1
DOID:0014667	GNAS-AS1
DOID:0014667	MCHR2-AS1
DOID:0014667	H19
DOID:0014667	MEG3
DOID:0014667	PCGEM1
DOID:0014667	LINC00961
DOID:0014667	MALAT1
DOID:0014667	CDKN2B-AS1
DOID:0014667	IGF2-AS
DOID:0014667	PVT1
DOID:0050013	LINC00271
DOID:0050013	HYMAI
DOID:0050013	KCNQ1OT1
DOID:0050013	H19
DOID:0050013	MEG3
DOID:0050013	MALAT1
DOID:0050013	CDKN2B-AS1
DOID:0050013	IGF2-AS
DOID:0050013	PVT1
DOID:0050117	GAS5
DOID:0050117	MIR17HG
DOID:0050117	HCP5
DOID:0050117	MIF-AS1
DOID:0050117	ATXN8OS
DOID:0050117	NRON
DOID:0050117	GSTT1-AS1
DOID:0050155	PISRT1
DOID:0050155	ERICH1-AS1
DOID:0050155	NALT1
DOID:0050155	LINC01628
DOID:0050155	CDKN2B-AS1
DOID:0050155	MIR100HG
DOID:0050177	MIR17HG
DOID:0050177	CDKN2B-AS1
DOID:0050338	GSTT1-AS1
DOID:0050567	PVT1
DOID:0050615	BANCR
DOID:0050615	SNHG1
DOID:0050615	GAS5
DOID:0050615	MIR17HG
DOID:0050615	AFAP1-AS1
DOID:0050615	C5orf66-AS2
DOID:0050615	TUG1
DOID:0050615	LSINCT5
DOID:0050615	HNF1A-AS1
DOID:0050615	H19
DOID:0050615	KIRREL3-AS3
DOID:0050615	MEG3
DOID:0050615	NEAT1
DOID:0050615	ERICH1-AS1
DOID:0050615	LINC01133
DOID:0050615	XIST
DOID:0050615	BCYRN1
DOID:0050615	HOTAIR
DOID:0050615	LINC01628
DOID:0050615	LINC00473
DOID:0050615	MALAT1
DOID:0050615	CDKN2B-AS1
DOID:0050615	CCAT1
DOID:0050615	MIR124-2HG
DOID:0050615	NPTN-IT1
DOID:0050615	GACAT2
DOID:0050615	PVT1
DOID:0050615	CCAT2
DOID:0050615	UCA1
DOID:0050639	PCA3
DOID:0050639	PCGEM1
DOID:0050686	PCA3
DOID:0050686	HULC
DOID:0050686	TRERNA1
DOID:0050686	PSORS1C3
DOID:0050686	CTBP1-AS
DOID:0050686	TP53COR1
DOID:0050686	BANCR
DOID:0050686	LINC-ROR
DOID:0050686	LINC00602
DOID:0050686	MIR194-2HG
DOID:0050686	TUSC7
DOID:0050686	SPRY4-IT1
DOID:0050686	ESRG
DOID:0050686	SNHG1
DOID:0050686	MYCNOS
DOID:0050686	SOX2-OT
DOID:0050686	GAS5
DOID:0050686	TP73-AS1
DOID:0050686	PTCSC3
DOID:0050686	LINC00467
DOID:0050686	MIR17HG
DOID:0050686	PANDAR
DOID:0050686	AFAP1-AS1
DOID:0050686	DBH-AS1
DOID:0050686	C5orf66-AS2
DOID:0050686	MIR503HG
DOID:0050686	DANCR
DOID:0050686	TUSC8
DOID:0050686	CASC16
DOID:0050686	HCCAT5
DOID:0050686	CASC2
DOID:0050686	EGOT
DOID:0050686	CYTOR
DOID:0050686	HCP5
DOID:0050686	NBAT1
DOID:0050686	CASC15
DOID:0050686	EWSAT1
DOID:0050686	TUG1
DOID:0050686	KCNQ1OT1
DOID:0050686	LINC00974
DOID:0050686	LINC00583
DOID:0050686	LINC00261
DOID:0050686	LSINCT5
DOID:0050686	CCDC26
DOID:0050686	ZFAS1
DOID:0050686	HNF1A-AS1
DOID:0050686	H19
DOID:0050686	LINC00663
DOID:0050686	MIR7-3HG
DOID:0050686	KIRREL3-AS3
DOID:0050686	MEG3
DOID:0050686	NEAT1
DOID:0050686	CAHM
DOID:0050686	NPSR1-AS1
DOID:0050686	MIR155HG
DOID:0050686	ERICH1-AS1
DOID:0050686	TINCR
DOID:0050686	SCHLAP1
DOID:0050686	BLACAT1
DOID:0050686	LINC00687
DOID:0050686	MIR99AHG
DOID:0050686	NCRUPAR
DOID:0050686	LINC00629
DOID:0050686	HCG4
DOID:0050686	ZEB1-AS1
DOID:0050686	LINC01133
DOID:0050686	HAND2-AS1
DOID:0050686	XIST
DOID:0050686	DLEU2
DOID:0050686	HCG27
DOID:0050686	BCYRN1
DOID:0050686	LINC00472
DOID:0050686	PCGEM1
DOID:0050686	PTCSC2
DOID:0050686	DISC2
DOID:0050686	TDRG1
DOID:0050686	HOTAIR
DOID:0050686	LINC01628
DOID:0050686	GHET1
DOID:0050686	LUCAT1
DOID:0050686	LINC00961
DOID:0050686	LINC-PINT
DOID:0050686	BCAR4
DOID:0050686	PCAT5
DOID:0050686	HOXA11-AS
DOID:0050686	LINC00473
DOID:0050686	CRNDE
DOID:0050686	LINC00312
DOID:0050686	RMST
DOID:0050686	MALAT1
DOID:0050686	CDKN2B-AS1
DOID:0050686	SNHG4
DOID:0050686	CCAT1
DOID:0050686	TTTY15
DOID:0050686	MIR124-2HG
DOID:0050686	NPTN-IT1
DOID:0050686	IGF2-AS
DOID:0050686	PCAT1
DOID:0050686	WT1-AS
DOID:0050686	GACAT2
DOID:0050686	MINCR
DOID:0050686	PVT1
DOID:0050686	CCAT2
DOID:0050686	HOTTIP
DOID:0050686	PRINS
DOID:0050686	LINC00963
DOID:0050686	MIR100HG
DOID:0050686	C1QTNF9B-AS1
DOID:0050686	HOTAIRM1
DOID:0050686	SNHG12
DOID:0050686	PRNCR1
DOID:0050686	UCA1
DOID:0050686	LINC01426
DOID:0050686	LINC00675
DOID:0050687	PCA3
DOID:0050687	HULC
DOID:0050687	BANCR
DOID:0050687	LINC00602
DOID:0050687	MIR194-2HG
DOID:0050687	TUSC7
DOID:0050687	SPRY4-IT1
DOID:0050687	ESRG
DOID:0050687	HYMAI
DOID:0050687	GAS5
DOID:0050687	PTCSC3
DOID:0050687	MIR17HG
